Sifra;NazivRobe;Kolicina;MPC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
SE0268;SPLITER 2/1 MI;1.00;0.90                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
SE0180;EUROPA UGRADBENI ORMARIÆ -36M PROZ.VRATA;2.00;56.70                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
SE0181;EUROPA UGRADBENI ORMARIÆ-54M PROZ.VRATA;4.00;97.50                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
AYA0500221;SKLOPKA KRIŽNA;15.00;6.05                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
AYA0800221;TIPKALO 10A;29.00;4.35                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
AYA1700221;TIPKALO 10A LOKATOR/ZVONO;6.00;5.45                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
AYA1800221;TIPKALO 10A LOKATOR/SVJETLO;17.00;5.45                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
AYA4100221;UTIÈNICA RJ11;10.00;6.90                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
AYA4200121;UTIÈNICA 2XRJ11;8.00;8.35                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
AYA4400121;UTIÈNICA 2XRJ45 CAT.5E UTP;10.00;19.85                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
AYA3400121;UTIÈNICA TV/SAT 1DB INDIVIDUALNA;7.00;19.85                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
AYA5802421;OKVIR HOR. ÈETVEROSTRUKI;16.00;3.60                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
WDE000510;SKLOPKA 1P IP44 BIJELA;10.00;5.20                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
WDE000523;UTIÈNICA DVOSTRUKA ZAŠTITA IP44 BIJELA;10.00;12.75                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
WDE000525;UTIÈ. DUPLA/ZAŠT. IP44 BIJELA/PROZ.POKL.;10.00;12.75                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
WDE000610;SKLOPKA 1P IP44 SIVA;10.00;5.20                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
WDE000625;UTIÈNICA DUPLA/ZAŠT. IP44 SIVA PROZ.POKL.;9.00;12.75                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
WDE000643;UTIÈNICA/ZAŠTITA IP44 SIVA PROZ.POKL.;1.00;5.90                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
OVA37066E;SVJETILJKA ANTIPANIK RILUX 6W 1H PR.SP.;19.00;38.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ETK16316;MINI KANAL 16X16;10.00;1.05                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ETK25316;MINI KANAL 25X16;88.00;1.70                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ETK25325;MINI KANAL 25X25;82.00;1.95                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ETK40325;MINI KANAL 40X25;200.00;2.75                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ETK40340;MINI KANAL 40X40;42.00;3.20                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
SE0361;ŽARULJA LED 3W GU10 6000K;2.00;8.20                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
AYA4300121;UTIÈNICA RJ45 CAT.5E UTP;9.00;15.10                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ETK80360;80X60 MINI KANAL;20.00;7.80                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
LC1D12B7;SKLOPNIK 12A 3P 1NO+1NC 24V 50/60HZ;1.00;44.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
SE0377;LED PANEL 18W UGRADNI KVADRATNI HLADNA BIJELA M;3.00;34.95                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
M20380118;LED PANEL 18W UGR. OKRUGLI 6500K;24.00;34.90                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
SE0402;LED DOWNLIGHTER 3X1W 3000K VITO;1.00;11.15                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
EZC100N3030;MG EZC100 15KA/400V 3P/3T 30A;1.00;117.35                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
SE0310;BOSCH BUŠILICA AKU PSR14.4 2AKU;1.00;220.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
SE0312;BOSCH BRUSILICA GWS 7-115;1.00;132.25                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
A9K02325;PREKIDAÈ MINIJATURNI K60N 6KA 3P 25A C;13.00;16.95                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
49813;ISFT250 RASTAVNA SKLOPKA-OSIGURAÈ M10 PRIKLJ.;2.00;192.95                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
LV429387;OKIDAÈ NAP. MX220-240V 50/60HZ 208-277V60HZ;3.00;83.10                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ZN4000;2 POKLOPCA PODNOŽJA 100X400MM VXŠ;2.00;24.25                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
EL2040K;SLIJEPA BOÈNA PLOÈA 2000X400MM;2.00;158.25                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
8013629006186;BM TULJAK 50/20 IZOLOVANI;11.35;1.30                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
10967;BAKARNA ŠIPKA PLOSNA 030,00X005,00;0.80;36.90                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
SE0144;NOSAÈ DVOSTRUKE N/PE STEZ.;66.00;1.45                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
SE0148;OZNAKA ZA VS EO3;25.00;7.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
SE0150;STEZALJKA VS 16;1.00;2.60                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
